Primary_Accession,Uncertainty,Length,Disorder,CompositionalBias,Membrane
P31946,0,246,23.17,0,0
P62258,8.24,255,9.41,0,0
Q04917,0.41,246,6.5,0,0
P61981,0,247,11.74,0,0
P31947,0,248,18.15,0,0
P27348,4.49,245,4.08,0,0
P63104,0,245,12.65,0,0
P30443,22.19,365,22.47,0,6.58
P01892,15.89,365,16.44,0,6.58
P04439,23.56,365,19.18,0,6.58
P13746,23.56,365,20.27,0,6.58
Q96QU6,10.78,501,6.79,0,0
Q4AC99,29.4,568,7.92,0,0
P30447,18.9,365,20.82,0,6.58
P05534,18.9,365,21.92,0,6.58
P18462,23.56,365,20.55,0,6.58
P30450,23.56,365,23.01,0,6.58
P30512,23.56,365,17.26,0,6.58
P16188,23.56,365,18.36,0,6.58
P16189,23.56,365,19.18,0,6.58
P10314,23.56,365,19.73,0,6.58
P16190,23.56,365,20,0,6.58
P30453,23.56,365,21.64,0,6.58
P30455,23.56,365,20,0,6.58
P30456,23.56,365,19.45,0,6.58
P30457,23.56,365,22.19,0,6.58
P01891,18.9,365,19.18,0,6.58
P10316,18.9,365,17.81,0,5.75
P30459,23.56,365,21.1,0,6.58
Q09160,18.9,365,22.19,0,6.58
P01889,18.23,362,21.82,0,6.63
P30460,18.23,362,24.31,0,6.63
P30461,17.96,362,16.02,0,6.63
P30462,18.23,362,24.31,0,6.63
P30464,18.23,362,21.27,0,6.63
P30466,18.23,362,25.41,0,6.63
P03989,18.23,362,18.23,0,6.63
P30685,18.23,362,18.78,0,6.63
P18463,18.23,362,23.2,0,6.63
Q95365,17.96,362,19.34,0,6.63
P30475,18.23,362,24.03,0,6.63
Q04826,18.23,362,19.89,0,6.63
P30479,18.23,362,21.55,0,6.63
P30480,18.23,362,19.89,0,6.63
P30481,18.23,362,19.34,0,6.63
P30483,18.23,362,22.38,0,6.63
P30484,18.23,362,19.89,0,6.63
P30485,18.23,362,18.23,0,6.63
P30486,18.23,362,21.27,0,6.63
P30487,17.96,362,20.72,0,6.63
P30488,18.23,362,21.27,0,6.63
P18464,18.23,362,20.99,0,6.63
P30490,17.96,362,22.65,0,6.63
P30491,18.23,362,18.78,0,6.63
P30492,18.23,362,19.34,0,6.63
P30493,18.23,362,20.72,0,6.63
P30495,18.23,362,18.78,0,6.63
P18465,18.23,362,14.64,0,6.63
P10319,18.23,362,20.17,0,6.63
Q29940,18.23,362,18.23,0,6.63
Q29836,18.23,362,20.17,0,6.63
Q31612,18.46,363,19.28,0,6.89
P30498,18.23,362,24.86,0,6.63
Q31610,18.23,362,19.34,0,6.63
Q29718,18.23,362,21.55,0,6.63
P30499,23.77,366,21.86,0,6.83
P30501,23.77,366,21.86,0,6.83
P04222,23.77,366,18.31,0,6.83
P30504,23.77,366,20.49,0,6.83
Q9TNN7,23.77,366,21.86,0,6.83
Q29963,23.77,366,19.67,0,6.83
P10321,21.31,366,21.31,0,6.83
P30505,23.77,366,20.49,0,6.83
P30508,23.77,366,20.49,0,6.83
P30510,23.77,366,19.67,0,6.83
Q07000,23.77,366,21.04,0,6.83
Q29960,23.77,366,21.04,0,6.83
Q95604,25,372,20.16,0,5.65
Q29865,23.77,366,19.67,0,6.83
Q15172,21.19,486,14.4,0.82,0
Q15173,22.94,497,17.51,0,0
Q14738,35.71,602,23.42,0,0
Q16537,17.99,467,12.63,0,0
Q13362,15.65,524,12.4,0,0
P30153,0,589,0,0,0
P30154,3.66,601,2.33,0,0
P63151,0,447,4.47,0,0
Q00005,4.29,443,5.42,0,0
Q66LE6,3.53,453,8.61,1.32,0
Q9Y2T4,5.59,447,9.84,0,0
P04229,20.68,266,0.75,0,8.65
P01912,23.68,266,0.75,0,8.65
P13760,22.93,266,0,0,8.65
P13761,24.06,266,0,0,8.65
Q30134,23.68,266,0,0,8.65
Q9TQE0,24.06,266,0.75,0,8.65
Q30167,23.68,266,0.75,0,8.65
P20039,23.68,266,0.38,0,8.65
Q95IE3,23.68,266,0.75,0,7.89
Q5Y7A7,24.06,266,0.75,0,7.89
Q9GIY3,23.68,266,0,0,7.89
P01911,20.68,266,0.38,0,7.89
Q29974,24.06,266,0.75,0,7.89
P14060,7.51,373,2.95,0,5.63
P26439,6.99,372,2.42,0,5.65
Q9H2F3,7.32,369,3.52,0,11.38
Q9Y3L3,41.8,701,47.65,0,0
P78314,55.08,561,57.75,2.32,0
Q7L8J4,100,393,70.48,3.05,0
O60239,97.8,455,61.54,44.18,0
P46952,0.35,286,1.75,0,0
P31937,0.89,336,0,0,0
P29372,26.51,298,30.54,0,0
P11171,67.13,864,59.38,0,0
Q13541,82.2,118,92.37,0,0
Q13542,84.17,120,81.67,0,0
O60516,85,100,67,0,0
Q9NRA8,100,985,67.82,6.4,0
P08195,24.44,630,21.11,0,3.33
P08908,24.64,422,16.11,0,40.76
P28222,0,390,4.1,0,41.54
P28221,10.61,377,2.65,0,43.77
P28566,6.03,365,1.64,0,43.84
P30939,6.28,366,0,0,41.26
P28223,32.27,471,2.76,0,33.55
P41595,23.28,481,1.25,0,32.22
P28335,27.73,458,6.33,0,34.93
P46098,21.76,478,5.86,0,17.78
O95264,18.37,441,0.91,0,18.37
Q8WXA8,18.79,447,5.15,0,19.24
Q70Z44,23.13,454,11.45,0,18.5
A5X5Y0,19.08,456,11.4,0,18.42
Q13639,20.62,388,3.35,0,38.4
P47898,8.68,357,0.56,0,42.58
P50406,30.23,440,22.95,0,36.82
P34969,30.9,479,1.46,0,30.69
Q9BXI3,100,368,14.67,0,0
Q96P26,100,610,38.36,17.21,0
Q9H0P0,13.39,336,0,0,0
Q969T7,3.33,300,0,0,0
P49902,4.46,561,7.84,2.32,0
P21589,8.54,574,1.05,0,0
P56378,100,58,0,0,32.76
P52209,0,483,1.86,0,0
O95336,7.75,258,8.14,0,0
P05408,100,212,51.89,0,0
P36639,8.12,197,17.26,0,0
P0DKL9,100,152,20.39,23.03,0
Q8IZ83,8.1,802,6.11,0,0
Q676U5,25.21,607,24.55,0,0
Q8NAA4,35.22,619,15.83,0,0
P02763,8.96,201,8.46,0,0
P19652,8.96,201,8.46,0,0
P20848,10.71,420,3.57,0,0
P01009,5.74,418,5.5,0,0
P04217,5.05,495,15.76,0,0
Q9NQ94,55.56,594,4.55,0,0
Q5TYW2,65.86,823,30.5,0,0
Q5SQ80,62.94,823,30.98,0,0
Q5VUR7,62.7,823,30.38,0,0
Q4UJ75,62.58,823,30.5,0,0
A0PJZ0,4.85,165,0,0,0
Q96IX9,100,119,37.82,0,0
P08697,24.24,491,15.48,0,0
P02750,11.82,347,5.19,0,0
P01023,1.56,1474,3.46,0,0
A8K2U0,3.16,1454,2.54,0,0
A7E2S9,8.91,258,24.81,0,0
Q5T5F5,100,129,93.8,29.46,0
Q9NPC4,42.21,353,3.97,0,5.95
Q9UNA3,40.59,340,2.65,0,6.18
P05067,27.14,770,37.01,4.94,3.12
Q96GX2,24.74,97,15.46,0,0
P30542,8.59,326,2.76,0,50.61
P29274,23.06,412,15.29,0,40.78
P29275,11.75,332,0.3,0,50.6
Q6P2N6,58.65,266,8.65,0,15.79
